PLAYER,SEASON,TEAM,X,Y,SHOT_MADE,PLAYOFFS,MVP,Champion
Kevin Durant,2007-08,SEA,-10.3,15.65,1,0,0,0
Kevin Durant,2007-08,SEA,-10.7,15.75,1,0,0,0
Kevin Durant,2007-08,SEA,-14.4,26.15,0,0,0,0
Kevin Durant,2007-08,SEA,19.5,21.35,0,0,0,0
Kevin Durant,2007-08,SEA,-12.0,26.95,1,0,0,0
Kevin Durant,2007-08,SEA,14.3,28.55,1,0,0,0
Kevin Durant,2007-08,SEA,-6.2,4.65,0,0,0,0
Kevin Durant,2007-08,SEA,13.0,20.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,8.4,13.85,0,0,0,0
Kevin Durant,2007-08,SEA,-15.9,21.35,0,0,0,0
Kevin Durant,2007-08,SEA,-15.3,19.25,0,0,0,0
Kevin Durant,2007-08,SEA,-14.4,13.45,1,0,0,0
Kevin Durant,2007-08,SEA,2.1,12.95,0,0,0,0
Kevin Durant,2007-08,SEA,-17.4,16.65,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-16.6,16.75,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-16.3,26.75,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,6.6,21.25,0,0,0,0
Kevin Durant,2007-08,SEA,-2.9,19.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,9.7,11.65,0,0,0,0
Kevin Durant,2007-08,SEA,10.0,12.85,1,0,0,0
Kevin Durant,2007-08,SEA,4.1,4.95,0,0,0,0
Kevin Durant,2007-08,SEA,14.1,20.05,0,0,0,0
Kevin Durant,2007-08,SEA,-10.7,26.95,1,0,0,0
Kevin Durant,2007-08,SEA,-10.5,20.55,0,0,0,0
Kevin Durant,2007-08,SEA,14.0,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,-6.4,8.55,0,0,0,0
Kevin Durant,2007-08,SEA,2.6,21.85,0,0,0,0
Kevin Durant,2007-08,SEA,15.3,26.15,0,0,0,0
Kevin Durant,2007-08,SEA,9.5,5.45,1,0,0,0
Kevin Durant,2007-08,SEA,-5.4,23.95,0,0,0,0
Kevin Durant,2007-08,SEA,-16.9,24.15,1,0,0,0
Kevin Durant,2007-08,SEA,-13.0,17.45,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-20.4,22.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-13.3,28.95,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-15.3,18.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-22.7,12.15,1,0,0,0
Kevin Durant,2007-08,SEA,-9.5,30.45,0,0,0,0
Kevin Durant,2007-08,SEA,-10.3,21.55,1,0,0,0
Kevin Durant,2007-08,SEA,-11.7,21.85,1,0,0,0
Kevin Durant,2007-08,SEA,6.7,23.65,0,0,0,0
Kevin Durant,2007-08,SEA,-17.4,7.05,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,13.1,17.25,0,0,0,0
Kevin Durant,2007-08,SEA,12.6,11.55,0,0,0,0
Kevin Durant,2007-08,SEA,-17.2,7.45,1,0,0,0
Kevin Durant,2007-08,SEA,-3.4,24.65,0,0,0,0
Kevin Durant,2007-08,SEA,-15.4,18.75,0,0,0,0
Kevin Durant,2007-08,SEA,-2.4,21.35,1,0,0,0
Kevin Durant,2007-08,SEA,-18.4,22.55,1,0,0,0
Kevin Durant,2007-08,SEA,-18.4,21.85,0,0,0,0
Kevin Durant,2007-08,SEA,-13.1,18.45,1,0,0,0
Kevin Durant,2007-08,SEA,-2.0,22.35,0,0,0,0
Kevin Durant,2007-08,SEA,3.6,15.25,0,0,0,0
Kevin Durant,2007-08,SEA,13.8,18.45,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,13.5,16.45,0,0,0,0
Kevin Durant,2007-08,SEA,15.8,26.15,0,0,0,0
Kevin Durant,2007-08,SEA,-19.4,5.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
